product_title,product_price,product_description,product_keywords,category_id,brand_id,product_image1,product_image2,product_image3
Áo thun basic nam,129000,"Áo thun cotton 100%, thoáng mát, form regular dễ mặc.","ao thun,basic,cotton,nam",1,1,ao-thun-1.jpg,ao-thun-2.jpg,ao-thun-3.jpg
Quần jean slim fit,299000,"Quần jean co giãn nhẹ, slim fit tôn dáng, bền màu.","quan jean,slim,denim,nam",1,2,jean-1.jpg,jean-2.jpg,jean-3.jpg
Giày sneaker trắng,399000,"Sneaker trắng tối giản, đế êm, dễ phối đồ đi học/đi làm.","giay,sneaker,trang,unisex",2,3,sneaker-1.jpg,sneaker-2.jpg,sneaker-3.jpg
Balo laptop 15.6 inch,259000,"Balo chống sốc laptop 15.6 inch, nhiều ngăn, chống nước nhẹ.","balo,laptop,15.6,chong nuoc",3,4,balo-1.jpg,balo-2.jpg,balo-3.jpg
Tai nghe Bluetooth,349000,"Tai nghe Bluetooth pin 20h, micro rõ, kết nối nhanh.","tai nghe,bluetooth,khong day,micro",4,5,tainghe-1.jpg,tainghe-2.jpg,tainghe-3.jpg
Chuột gaming RGB,219000,"Chuột gaming RGB 6 nút, DPI tùy chỉnh, cầm chắc tay.","chuot,gaming,rgb,dpi",4,6,chuot-1.jpg,chuot-2.jpg,chuot-3.jpg
Bình giữ nhiệt 500ml,189000,"Bình giữ nhiệt inox 304, giữ nóng/lạnh 8-12h, nắp kín.","binh giu nhiet,500ml,inox,giu lanh",5,7,binh-1.jpg,binh-2.jpg,binh-3.jpg
Sách kỹ năng sống,99000,"Sách kỹ năng sống: quản lý thời gian, tư duy tích cực, thói quen tốt.","sach,ky nang,tu duy,thoi quen",6,8,sach-1.jpg,sach-2.jpg,sach-3.jpg
Kem chống nắng SPF50,169000,"Kem chống nắng SPF50 PA+++, kiềm dầu nhẹ, không bết rít.","kem chong nang,spf50,pa,kiem dau",7,9,kcn-1.jpg,kcn-2.jpg,kcn-3.jpg
Nước hoa mini 10ml,149000,"Nước hoa mini 10ml hương nhẹ, lưu hương 4-6h, tiện mang theo.","nuoc hoa,mini,10ml,huong nhe",8,10,nuochoa-1.jpg,nuochoa-2.jpg,nuochoa-3.jpg
